,precision,recall,f1-score,support
SkipTrade (0),0.12241230592294422,0.028133879600872266,0.045752511955295255,60532.0
Target 1:2 (1),0.08277460219372779,0.958840372226199,0.1523934127819335,11176.0
Target 1:3 (2),0.9937009213323884,0.7065985590975613,0.825910549604867,248039.0
Target 1:5 (3),0.0,0.0,0.0,0.0
Target 1:10 (4),0.0,0.0,0.0,0.0
Target 1:15 (5),0.0,0.0,0.0,0.0
accuracy,0.5869734508846056,0.5869734508846056,0.5869734508846056,0.5869734508846056
macro avg,0.19981463824151005,0.2822621351541054,0.17067607905701596,319747.0
weighted avg,0.7969161039278212,0.5869734508846056,0.6546759364384042,319747.0
