Year_Month,Monthly_Start_Equity,Equity,Monthly_PnL,Monthly_Return_Pct
2010-01,100000.0,98750.0,-1250.0,-1.25
2010-02,98750.0,91750.0,-7000.0,-7.088607594936709
2010-03,91750.0,94500.0,2750.0,2.997275204359673
2010-04,94500.0,102750.0,8250.0,8.73015873015873
2010-05,102750.0,95750.0,-7000.0,-6.81265206812652
2010-06,95750.0,98500.0,2750.0,2.8720626631853787
2010-07,98500.0,101250.0,2750.0,2.7918781725888326
2010-08,101250.0,103000.0,1750.0,1.728395061728395
2010-09,103000.0,103000.0,0.0,0.0
2010-10,103000.0,109250.0,6250.0,6.067961165048544
2010-11,109250.0,113750.0,4500.0,4.118993135011442
2010-12,113750.0,110750.0,-3000.0,-2.6373626373626373
2011-01,110750.0,99250.0,-11500.0,-10.383747178329571
2011-02,99250.0,93250.0,-6000.0,-6.045340050377834
2011-03,93250.0,91750.0,-1500.0,-1.6085790884718498
2011-04,91750.0,97250.0,5500.0,5.994550408719346
2011-05,97250.0,93250.0,-4000.0,-4.113110539845758
2011-06,93250.0,96000.0,2750.0,2.949061662198391
2011-07,96000.0,100500.0,4500.0,4.6875
2011-08,100500.0,101000.0,500.0,0.4975124378109453
2011-09,101000.0,99750.0,-1250.0,-1.2376237623762376
2011-10,99750.0,96750.0,-3000.0,-3.007518796992481
2011-11,96750.0,93250.0,-3500.0,-3.6175710594315245
2011-12,93250.0,92250.0,-1000.0,-1.0723860589812333
2012-01,92250.0,95500.0,3250.0,3.523035230352303
2012-02,95500.0,104250.0,8750.0,9.162303664921465
2012-03,104250.0,102250.0,-2000.0,-1.9184652278177456
2012-04,102250.0,105000.0,2750.0,2.689486552567237
2012-05,105000.0,104500.0,-500.0,-0.4761904761904762
2012-06,104500.0,103500.0,-1000.0,-0.9569377990430622
2012-07,103500.0,100500.0,-3000.0,-2.898550724637681
2012-08,100500.0,98500.0,-2000.0,-1.9900497512437811
2012-09,98500.0,99000.0,500.0,0.5076142131979695
2012-10,99000.0,99000.0,0.0,0.0
2012-11,99000.0,99000.0,0.0,0.0
2012-12,99000.0,101750.0,2750.0,2.7777777777777777
2013-01,101750.0,98750.0,-3000.0,-2.9484029484029484
2013-02,98750.0,98250.0,-500.0,-0.5063291139240507
2013-03,98250.0,98250.0,0.0,0.0
2013-04,98250.0,96750.0,-1500.0,-1.5267175572519083
2013-05,96750.0,97250.0,500.0,0.516795865633075
