,precision,recall,f1-score,support
SkipTrade (0),0.2539663931223134,0.10736469966298817,0.15092543136480807,60532.0
Target 1:2 (1),0.0457957957957958,0.005458124552612742,0.009753757595139112,11176.0
Target 1:3 (2),0.9919444400163662,0.8913149350649351,0.9389411844590363,209440.0
Target 1:5 (3),0.22095626975763963,0.9954012757751075,0.3616373386510011,6741.0
Target 1:10 (4),0.4363024912606753,0.9313308774912629,0.5942264810462243,10587.0
Target 1:15 (5),0.3771799090293235,0.9161299421747919,0.5343588899857409,21271.0
accuracy,0.7171107156595683,0.7171107156595683,0.7171107156595683,0.7171107156595683
macro avg,0.38769088316368566,0.6411666424536163,0.431640513850325,319747.0
weighted avg,0.7436171272090033,0.7171107156595683,0.7067834534270153,319747.0
