,precision,recall,f1-score,support
SkipTrade (0),0.4468638681287979,0.9070319699439995,0.5987459348166866,28214.0
Target 1:2 (1),0.12282157676348547,0.019938030445911355,0.034306907742234584,7423.0
Target 1:3 (2),0.13106796116504854,0.01336964595196831,0.02426421028982251,8078.0
Target 1:5 (3),0.10882352941176471,0.009459286718650135,0.01740562154533694,7823.0
Target 1:10 (4),0.0,0.0,0.0,2667.0
Target 1:15 (5),0.24107142857142858,0.1027818448023426,0.1441182508725108,10245.0
accuracy,0.41852598913886735,0.41852598913886735,0.41852598913886735,0.41852598913886735
macro avg,0.17510806067342088,0.175430129643812,0.1364734875444319,64450.0
weighted avg,0.27772524416284,0.41852598913886735,0.29412474677033107,64450.0
