,precision,recall,f1-score,support
SkipTrade (0),0.0,0.0,0.0,60377.0
Target 1:2 (1),0.08116776375870306,0.996859578286227,0.15011282106713866,11145.0
Target 1:3+ (2),0.9937009213323884,0.7250403342572291,0.8383731359347533,241730.0
accuracy,0.5949650760410149,0.5949650760410149,0.5949650760410149,0.5949650760410149
macro avg,0.3582895616970305,0.5739666375144853,0.3294953190006306,313252.0
weighted avg,0.7697059825340908,0.5949650760410149,0.6522957412572025,313252.0
