Year_Month,Monthly_Start_Equity,Equity,Monthly_PnL,Monthly_Return_Pct,Drawdown_Pct
2010-01,100000.0,99000.0,-1000.0,-1.0,0.0
2010-02,99000.0,94000.0,-5000.0,-5.05050505050505,5.05050505050505
2010-03,94000.0,96000.0,2000.0,2.127659574468085,3.0303030303030303
2010-04,96000.0,120000.0,24000.0,25.0,0.0
2010-05,120000.0,115000.0,-5000.0,-4.166666666666666,4.166666666666666
2010-06,115000.0,121000.0,6000.0,5.217391304347826,0.0
2010-07,121000.0,121000.0,0.0,0.0,0.0
2010-08,121000.0,127000.0,6000.0,4.958677685950414,0.0
2010-09,127000.0,139000.0,12000.0,9.448818897637794,0.0
2010-10,139000.0,138000.0,-1000.0,-0.7194244604316548,0.7194244604316548
2010-11,138000.0,138000.0,0.0,0.0,0.7194244604316548
2010-12,138000.0,137000.0,-1000.0,-0.7246376811594203,1.4388489208633095
2011-01,137000.0,129000.0,-8000.0,-5.839416058394161,7.194244604316546
2011-02,129000.0,128000.0,-1000.0,-0.7751937984496124,7.913669064748201
2011-03,128000.0,128000.0,0.0,0.0,7.913669064748201
2011-04,128000.0,127000.0,-1000.0,-0.78125,8.633093525179856
2011-05,127000.0,128000.0,1000.0,0.7874015748031495,7.913669064748201
2011-06,128000.0,131000.0,3000.0,2.34375,5.755395683453238
2011-07,131000.0,131000.0,0.0,0.0,5.755395683453238
2011-08,131000.0,124000.0,-7000.0,-5.343511450381679,10.79136690647482
2011-09,124000.0,126000.0,2000.0,1.6129032258064515,9.352517985611511
2011-10,126000.0,125000.0,-1000.0,-0.7936507936507936,10.071942446043165
2011-11,125000.0,118000.0,-7000.0,-5.6000000000000005,15.107913669064748
2011-12,118000.0,108000.0,-10000.0,-8.47457627118644,22.302158273381295
2012-01,108000.0,117000.0,9000.0,8.333333333333332,15.827338129496402
2012-02,117000.0,120000.0,3000.0,2.564102564102564,13.66906474820144
2012-03,120000.0,118000.0,-2000.0,-1.6666666666666667,15.107913669064748
2012-04,118000.0,117000.0,-1000.0,-0.847457627118644,15.827338129496402
2012-05,117000.0,113000.0,-4000.0,-3.418803418803419,18.705035971223023
2012-06,113000.0,116000.0,3000.0,2.6548672566371683,16.546762589928058
2012-07,116000.0,118000.0,2000.0,1.7241379310344827,15.107913669064748
2012-08,118000.0,120000.0,2000.0,1.694915254237288,13.66906474820144
2012-09,120000.0,120000.0,0.0,0.0,13.66906474820144
2012-10,120000.0,122000.0,2000.0,1.6666666666666667,12.23021582733813
2012-11,122000.0,124000.0,2000.0,1.639344262295082,10.79136690647482
2012-12,124000.0,133000.0,9000.0,7.258064516129033,4.316546762589928
2013-01,133000.0,134000.0,1000.0,0.7518796992481203,3.597122302158273
2013-02,134000.0,121000.0,-13000.0,-9.701492537313433,12.949640287769784
2013-03,121000.0,117000.0,-4000.0,-3.3057851239669422,15.827338129496402
2013-04,117000.0,116000.0,-1000.0,-0.8547008547008548,16.546762589928058
2013-05,116000.0,115000.0,-1000.0,-0.8620689655172413,17.26618705035971
2013-06,115000.0,116000.0,1000.0,0.8695652173913043,16.546762589928058
2013-07,116000.0,103000.0,-13000.0,-11.206896551724139,25.899280575539567
2013-08,103000.0,95000.0,-8000.0,-7.766990291262135,31.654676258992804
2013-09,95000.0,104000.0,9000.0,9.473684210526317,25.179856115107913
2013-10,104000.0,103000.0,-1000.0,-0.9615384615384616,25.899280575539567
2013-11,103000.0,106000.0,3000.0,2.912621359223301,23.741007194244602
2013-12,106000.0,106000.0,0.0,0.0,23.741007194244602
2014-01,106000.0,106000.0,0.0,0.0,23.741007194244602
2014-02,106000.0,106000.0,0.0,0.0,23.741007194244602
2014-03,106000.0,107000.0,1000.0,0.9433962264150944,23.021582733812952
2014-04,107000.0,123000.0,16000.0,14.953271028037381,11.510791366906476
2014-05,123000.0,151000.0,28000.0,22.76422764227642,0.0
2014-06,151000.0,179000.0,28000.0,18.543046357615893,0.0
2014-07,179000.0,196000.0,17000.0,9.497206703910614,0.0
2014-08,196000.0,202000.0,6000.0,3.061224489795918,0.0
2014-09,202000.0,221000.0,19000.0,9.405940594059405,0.0
2014-10,221000.0,222000.0,1000.0,0.4524886877828055,0.0
2014-11,222000.0,234000.0,12000.0,5.405405405405405,0.0
2014-12,234000.0,241000.0,7000.0,2.9914529914529915,0.0
2015-01,241000.0,280000.0,39000.0,16.182572614107883,0.0
2015-02,280000.0,268000.0,-12000.0,-4.285714285714286,4.285714285714286
2015-03,268000.0,277000.0,9000.0,3.3582089552238807,1.0714285714285714
2015-04,277000.0,285000.0,8000.0,2.888086642599278,0.0
2015-05,285000.0,292000.0,7000.0,2.456140350877193,0.0
2015-06,292000.0,288000.0,-4000.0,-1.36986301369863,1.36986301369863
2015-07,288000.0,337000.0,49000.0,17.01388888888889,0.0
2015-08,337000.0,338000.0,1000.0,0.2967359050445104,0.0
2015-09,338000.0,336000.0,-2000.0,-0.591715976331361,0.591715976331361
2015-10,336000.0,360000.0,24000.0,7.142857142857142,0.0
2015-11,360000.0,360000.0,0.0,0.0,0.0
2015-12,360000.0,363000.0,3000.0,0.8333333333333334,0.0
2016-01,363000.0,343000.0,-20000.0,-5.5096418732782375,5.5096418732782375
2016-02,343000.0,319000.0,-24000.0,-6.997084548104956,12.121212121212121
2016-03,319000.0,341000.0,22000.0,6.896551724137931,6.0606060606060606
2016-04,341000.0,358000.0,17000.0,4.9853372434017595,1.3774104683195594
2016-05,358000.0,359000.0,1000.0,0.27932960893854747,1.1019283746556474
2016-06,359000.0,344000.0,-15000.0,-4.178272980501393,5.234159779614325
2016-07,344000.0,364000.0,20000.0,5.813953488372093,0.0
2016-08,364000.0,371000.0,7000.0,1.9230769230769231,0.0
2016-09,371000.0,390000.0,19000.0,5.121293800539084,0.0
2016-10,390000.0,404000.0,14000.0,3.5897435897435894,0.0
2016-11,404000.0,390000.0,-14000.0,-3.4653465346534658,3.4653465346534658
2016-12,390000.0,399000.0,9000.0,2.307692307692308,1.2376237623762376
2017-01,399000.0,432000.0,33000.0,8.270676691729323,0.0
2017-02,432000.0,458000.0,26000.0,6.018518518518518,0.0
2017-03,458000.0,472000.0,14000.0,3.056768558951965,0.0
2017-04,472000.0,509000.0,37000.0,7.838983050847458,0.0
