Year_Month,Monthly_Start_Equity,Equity,Monthly_PnL,Monthly_Return_Pct,Drawdown_Pct
2010-01,100000.0,99000.0,-1000.0,-1.0,0.0
2010-02,99000.0,94000.0,-5000.0,-5.05050505050505,5.05050505050505
2010-03,94000.0,94000.0,0.0,0.0,5.05050505050505
2010-04,94000.0,121000.0,27000.0,28.723404255319153,0.0
2010-05,121000.0,112000.0,-9000.0,-7.43801652892562,7.43801652892562
2010-06,112000.0,120000.0,8000.0,7.142857142857142,0.8264462809917356
2010-07,120000.0,120000.0,0.0,0.0,0.8264462809917356
2010-08,120000.0,127000.0,7000.0,5.833333333333333,0.0
2010-09,127000.0,133000.0,6000.0,4.724409448818897,0.0
2010-10,133000.0,134000.0,1000.0,0.7518796992481203,0.0
2010-11,134000.0,132000.0,-2000.0,-1.4925373134328357,1.4925373134328357
2010-12,132000.0,129000.0,-3000.0,-2.272727272727273,3.731343283582089
2011-01,129000.0,121000.0,-8000.0,-6.2015503875969,9.701492537313433
2011-02,121000.0,119000.0,-2000.0,-1.6528925619834711,11.194029850746269
2011-03,119000.0,126000.0,7000.0,5.88235294117647,5.970149253731343
2011-04,126000.0,129000.0,3000.0,2.380952380952381,3.731343283582089
2011-05,129000.0,137000.0,8000.0,6.2015503875969,0.0
2011-06,137000.0,142000.0,5000.0,3.64963503649635,0.0
2011-07,142000.0,147000.0,5000.0,3.5211267605633805,0.0
2011-08,147000.0,140000.0,-7000.0,-4.761904761904762,4.761904761904762
2011-09,140000.0,138000.0,-2000.0,-1.4285714285714286,6.122448979591836
2011-10,138000.0,135000.0,-3000.0,-2.1739130434782608,8.16326530612245
2011-11,135000.0,131000.0,-4000.0,-2.9629629629629632,10.884353741496598
2011-12,131000.0,121000.0,-10000.0,-7.633587786259542,17.687074829931973
2012-01,121000.0,125000.0,4000.0,3.3057851239669422,14.965986394557824
2012-02,125000.0,137000.0,12000.0,9.6,6.802721088435375
2012-03,137000.0,135000.0,-2000.0,-1.4598540145985401,8.16326530612245
2012-04,135000.0,135000.0,0.0,0.0,8.16326530612245
2012-05,135000.0,129000.0,-6000.0,-4.444444444444445,12.244897959183673
2012-06,129000.0,131000.0,2000.0,1.550387596899225,10.884353741496598
2012-07,131000.0,131000.0,0.0,0.0,10.884353741496598
2012-08,131000.0,129000.0,-2000.0,-1.5267175572519083,12.244897959183673
2012-09,129000.0,129000.0,0.0,0.0,12.244897959183673
2012-10,129000.0,128000.0,-1000.0,-0.7751937984496124,12.925170068027212
2012-11,128000.0,133000.0,5000.0,3.90625,9.523809523809524
2012-12,133000.0,142000.0,9000.0,6.7669172932330826,3.4013605442176873
2013-01,142000.0,143000.0,1000.0,0.7042253521126761,2.7210884353741496
2013-02,143000.0,140000.0,-3000.0,-2.097902097902098,4.761904761904762
2013-03,140000.0,136000.0,-4000.0,-2.857142857142857,7.482993197278912
2013-04,136000.0,130000.0,-6000.0,-4.411764705882353,11.564625850340136
2013-05,130000.0,128000.0,-2000.0,-1.5384615384615385,12.925170068027212
2013-06,128000.0,127000.0,-1000.0,-0.78125,13.60544217687075
2013-07,127000.0,121000.0,-6000.0,-4.724409448818897,17.687074829931973
2013-08,121000.0,113000.0,-8000.0,-6.6115702479338845,23.12925170068027
2013-09,113000.0,119000.0,6000.0,5.3097345132743365,19.047619047619047
2013-10,119000.0,119000.0,0.0,0.0,19.047619047619047
2013-11,119000.0,119000.0,0.0,0.0,19.047619047619047
2013-12,119000.0,120000.0,1000.0,0.8403361344537815,18.367346938775512
2014-01,120000.0,123000.0,3000.0,2.5,16.3265306122449
2014-02,123000.0,125000.0,2000.0,1.6260162601626018,14.965986394557824
2014-03,125000.0,128000.0,3000.0,2.4,12.925170068027212
2014-04,128000.0,144000.0,16000.0,12.5,2.0408163265306123
2014-05,144000.0,174000.0,30000.0,20.833333333333336,0.0
2014-06,174000.0,192000.0,18000.0,10.344827586206897,0.0
2014-07,192000.0,215000.0,23000.0,11.979166666666668,0.0
2014-08,215000.0,223000.0,8000.0,3.7209302325581395,0.0
2014-09,223000.0,243000.0,20000.0,8.968609865470851,0.0
2014-10,243000.0,247000.0,4000.0,1.646090534979424,0.0
2014-11,247000.0,243000.0,-4000.0,-1.6194331983805668,1.6194331983805668
2014-12,243000.0,255000.0,12000.0,4.938271604938271,0.0
2015-01,255000.0,291000.0,36000.0,14.117647058823529,0.0
2015-02,291000.0,286000.0,-5000.0,-1.718213058419244,1.718213058419244
2015-03,286000.0,285000.0,-1000.0,-0.34965034965034963,2.0618556701030926
2015-04,285000.0,318000.0,33000.0,11.578947368421053,0.0
2015-05,318000.0,346000.0,28000.0,8.80503144654088,0.0
2015-06,346000.0,339000.0,-7000.0,-2.023121387283237,2.023121387283237
2015-07,339000.0,383000.0,44000.0,12.979351032448378,0.0
2015-08,383000.0,389000.0,6000.0,1.5665796344647518,0.0
2015-09,389000.0,390000.0,1000.0,0.2570694087403599,0.0
2015-10,390000.0,433000.0,43000.0,11.025641025641026,0.0
2015-11,433000.0,437000.0,4000.0,0.9237875288683602,0.0
2015-12,437000.0,467000.0,30000.0,6.864988558352403,0.0
2016-01,467000.0,450000.0,-17000.0,-3.640256959314775,3.640256959314775
2016-02,450000.0,423000.0,-27000.0,-6.0,9.421841541755889
2016-03,423000.0,447000.0,24000.0,5.673758865248227,4.282655246252676
2016-04,447000.0,468000.0,21000.0,4.697986577181208,0.0
2016-05,468000.0,475000.0,7000.0,1.4957264957264957,0.0
2016-06,475000.0,457000.0,-18000.0,-3.7894736842105265,3.7894736842105265
2016-07,457000.0,486000.0,29000.0,6.3457330415754925,0.0
2016-08,486000.0,512000.0,26000.0,5.349794238683128,0.0
2016-09,512000.0,560000.0,48000.0,9.375,0.0
2016-10,560000.0,602000.0,42000.0,7.5,0.0
2016-11,602000.0,549000.0,-53000.0,-8.803986710963455,8.803986710963455
2016-12,549000.0,562000.0,13000.0,2.3679417122040074,6.64451827242525
2017-01,562000.0,617000.0,55000.0,9.786476868327403,0.0
2017-02,617000.0,650000.0,33000.0,5.348460291734198,0.0
2017-03,650000.0,651000.0,1000.0,0.15384615384615385,0.0
2017-04,651000.0,704000.0,53000.0,8.141321044546851,0.0
2017-05,704000.0,682000.0,-22000.0,-3.125,3.125
