Year_Month,Monthly_Start_Equity,Equity,Monthly_PnL,Monthly_Return_Pct
2010-01,100000.0,98000.0,-2000.0,-2.0
2010-02,98000.0,93000.0,-5000.0,-5.1020408163265305
2010-03,93000.0,100000.0,7000.0,7.526881720430108
2010-04,100000.0,114000.0,14000.0,14.000000000000002
2010-05,114000.0,118000.0,4000.0,3.508771929824561
2010-06,118000.0,122000.0,4000.0,3.389830508474576
2010-07,122000.0,132000.0,10000.0,8.19672131147541
2010-08,132000.0,147000.0,15000.0,11.363636363636363
2010-09,147000.0,157000.0,10000.0,6.802721088435375
2010-10,157000.0,151000.0,-6000.0,-3.821656050955414
2010-11,151000.0,158000.0,7000.0,4.635761589403973
2010-12,158000.0,167000.0,9000.0,5.69620253164557
2011-01,167000.0,158000.0,-9000.0,-5.389221556886228
2011-02,158000.0,154000.0,-4000.0,-2.5316455696202533
2011-03,154000.0,160000.0,6000.0,3.896103896103896
2011-04,160000.0,178000.0,18000.0,11.25
2011-05,178000.0,175000.0,-3000.0,-1.6853932584269662
2011-06,175000.0,177000.0,2000.0,1.1428571428571428
2011-07,177000.0,181000.0,4000.0,2.2598870056497176
2011-08,181000.0,169000.0,-12000.0,-6.629834254143646
2011-09,169000.0,160000.0,-9000.0,-5.325443786982249
2011-10,160000.0,156000.0,-4000.0,-2.5
2011-11,156000.0,150000.0,-6000.0,-3.8461538461538463
2011-12,150000.0,144000.0,-6000.0,-4.0
2012-01,144000.0,178000.0,34000.0,23.61111111111111
2012-02,178000.0,195000.0,17000.0,9.550561797752808
2012-03,195000.0,196000.0,1000.0,0.5128205128205128
2012-04,196000.0,202000.0,6000.0,3.061224489795918
2012-05,202000.0,201000.0,-1000.0,-0.49504950495049505
2012-06,201000.0,201000.0,0.0,0.0
2012-07,201000.0,195000.0,-6000.0,-2.9850746268656714
2012-08,195000.0,206000.0,11000.0,5.641025641025641
2012-09,206000.0,214000.0,8000.0,3.8834951456310676
2012-10,214000.0,222000.0,8000.0,3.7383177570093453
2012-11,222000.0,231000.0,9000.0,4.054054054054054
2012-12,231000.0,253000.0,22000.0,9.523809523809524
2013-01,253000.0,246000.0,-7000.0,-2.766798418972332
2013-02,246000.0,233000.0,-13000.0,-5.284552845528456
2013-03,233000.0,229000.0,-4000.0,-1.7167381974248928
2013-04,229000.0,222000.0,-7000.0,-3.056768558951965
2013-05,222000.0,218000.0,-4000.0,-1.8018018018018018
2013-06,218000.0,210000.0,-8000.0,-3.669724770642202
2013-07,210000.0,202000.0,-8000.0,-3.8095238095238098
2013-08,202000.0,204000.0,2000.0,0.9900990099009901
2013-09,204000.0,214000.0,10000.0,4.901960784313726
2013-10,214000.0,225000.0,11000.0,5.14018691588785
2013-11,225000.0,243000.0,18000.0,8.0
2013-12,243000.0,263000.0,20000.0,8.23045267489712
2014-01,263000.0,276000.0,13000.0,4.942965779467681
2014-02,276000.0,285000.0,9000.0,3.260869565217391
2014-03,285000.0,321000.0,36000.0,12.631578947368421
2014-04,321000.0,360000.0,39000.0,12.149532710280374
2014-05,360000.0,413000.0,53000.0,14.722222222222223
2014-06,413000.0,454000.0,41000.0,9.927360774818402
2014-07,454000.0,488000.0,34000.0,7.488986784140969
2014-08,488000.0,525000.0,37000.0,7.581967213114754
2014-09,525000.0,570000.0,45000.0,8.571428571428571
2014-10,570000.0,585000.0,15000.0,2.631578947368421
2014-11,585000.0,623000.0,38000.0,6.495726495726497
2014-12,623000.0,638000.0,15000.0,2.4077046548956664
2015-01,638000.0,709000.0,71000.0,11.128526645768025
2015-02,709000.0,740000.0,31000.0,4.372355430183357
2015-03,740000.0,725000.0,-15000.0,-2.027027027027027
2015-04,725000.0,822000.0,97000.0,13.379310344827585
2015-05,822000.0,831000.0,9000.0,1.094890510948905
2015-06,831000.0,844000.0,13000.0,1.5643802647412757
2015-07,844000.0,926000.0,82000.0,9.715639810426541
2015-08,926000.0,956000.0,30000.0,3.2397408207343417
2015-09,956000.0,960000.0,4000.0,0.41841004184100417
2015-10,960000.0,1033000.0,73000.0,7.604166666666666
2015-11,1033000.0,1077000.0,44000.0,4.259438528557599
2015-12,1077000.0,1151000.0,74000.0,6.8709377901578454
2016-01,1151000.0,1148000.0,-3000.0,-0.26064291920069504
2016-02,1148000.0,1048000.0,-100000.0,-8.710801393728223
2016-03,1048000.0,1135000.0,87000.0,8.301526717557252
2016-04,1135000.0,1204000.0,69000.0,6.079295154185022
2016-05,1204000.0,1259000.0,55000.0,4.568106312292359
2016-06,1259000.0,1311000.0,52000.0,4.130262112787927
2016-07,1311000.0,1415000.0,104000.0,7.9328756674294425
2016-08,1415000.0,1624000.0,209000.0,14.770318021201415
2016-09,1624000.0,1685000.0,61000.0,3.7561576354679804
2016-10,1685000.0,1789000.0,104000.0,6.172106824925816
2016-11,1789000.0,1688000.0,-101000.0,-5.645612073784237
2016-12,1688000.0,1719000.0,31000.0,1.8364928909952605
2017-01,1719000.0,1847000.0,128000.0,7.446189645142525
2017-02,1847000.0,1956000.0,109000.0,5.901461829994585
2017-03,1956000.0,2004000.0,48000.0,2.4539877300613497
2017-04,2004000.0,2131000.0,127000.0,6.337325349301397
2017-05,2131000.0,2144000.0,13000.0,0.6100422336931018
2017-06,2144000.0,2225000.0,81000.0,3.7779850746268653
2017-07,2225000.0,2416000.0,191000.0,8.584269662921349
2017-08,2416000.0,2450000.0,34000.0,1.4072847682119205
2017-09,2450000.0,2625000.0,175000.0,7.142857142857142
2017-10,2625000.0,2824000.0,199000.0,7.5809523809523816
2017-11,2824000.0,3036000.0,212000.0,7.507082152974505
2017-12,3036000.0,3237000.0,201000.0,6.620553359683795
2018-01,3237000.0,3354000.0,117000.0,3.614457831325301
2018-02,3354000.0,3433000.0,79000.0,2.3553965414430533
2018-03,3433000.0,3433000.0,0.0,0.0
2018-04,3433000.0,3731000.0,298000.0,8.68045441304981
2018-05,3731000.0,3947000.0,216000.0,5.789332618600911
2018-06,3947000.0,3866000.0,-81000.0,-2.0521915378768685
2018-07,3866000.0,4164000.0,298000.0,7.708225556130367
2018-08,4164000.0,4390000.0,226000.0,5.427473583093179
2018-09,4390000.0,4271000.0,-119000.0,-2.7107061503416854
2018-10,4271000.0,4552000.0,281000.0,6.579255443690002
2018-11,4552000.0,4846000.0,294000.0,6.4586994727592275
2018-12,4846000.0,5018000.0,172000.0,3.549319026000825
2019-01,5018000.0,5038000.0,20000.0,0.3985651654045437
2019-02,5038000.0,5432000.0,394000.0,7.820563715760222
2019-03,5432000.0,5866000.0,434000.0,7.989690721649484
2019-04,5866000.0,6006000.0,140000.0,2.386634844868735
2019-05,6006000.0,6528000.0,522000.0,8.691308691308691
2019-06,6528000.0,6596000.0,68000.0,1.0416666666666665
2019-07,6596000.0,6416000.0,-180000.0,-2.72892662219527
2019-08,6416000.0,6478000.0,62000.0,0.9663341645885287
2019-09,6478000.0,6878000.0,400000.0,6.1747452917567145
2019-10,6878000.0,7128000.0,250000.0,3.6347775516138414
2019-11,7128000.0,7257000.0,129000.0,1.80976430976431
2019-12,7257000.0,7449000.0,192000.0,2.645721372467962
2020-01,7449000.0,7774000.0,325000.0,4.363001745200698
2020-02,7774000.0,7825000.0,51000.0,0.656032930280422
2020-03,7825000.0,7540000.0,-285000.0,-3.642172523961661
2020-04,7540000.0,8825000.0,1285000.0,17.042440318302386
2020-05,8825000.0,8971000.0,146000.0,1.6543909348441928
2020-06,8971000.0,9517000.0,546000.0,6.086278006911158
2020-07,9517000.0,9680000.0,163000.0,1.7127245980876327
2020-08,9680000.0,10040000.0,360000.0,3.71900826446281
2020-09,10040000.0,10118000.0,78000.0,0.7768924302788844
2020-10,10118000.0,10245000.0,127000.0,1.2551887724846806
2020-11,10245000.0,10691000.0,446000.0,4.353343094192289
2020-12,10691000.0,10918000.0,227000.0,2.123281264615097
2021-01,10918000.0,10964000.0,46000.0,0.421322586554314
2021-02,10964000.0,11036000.0,72000.0,0.6566946369937978
2021-03,11036000.0,11119000.0,83000.0,0.7520840884378398
2021-04,11119000.0,11343000.0,224000.0,2.0145696555445634
2021-05,11343000.0,11655000.0,312000.0,2.75059508066649
2021-06,11655000.0,11793000.0,138000.0,1.1840411840411842
2021-07,11793000.0,11984000.0,191000.0,1.6196048503349443
2021-08,11984000.0,12211000.0,227000.0,1.8941922563417892
2021-09,12211000.0,12466000.0,255000.0,2.0882810580624027
2021-10,12466000.0,12598000.0,132000.0,1.0588801540189314
2021-11,12598000.0,12666000.0,68000.0,0.5397682171773297
2021-12,12666000.0,13057000.0,391000.0,3.0870045791883785
2022-01,13057000.0,13294000.0,237000.0,1.815118327333997
2022-02,13294000.0,13076000.0,-218000.0,-1.6398375206860236
2022-03,13076000.0,13725000.0,649000.0,4.963291526460691
2022-04,13725000.0,14185000.0,460000.0,3.351548269581057
2022-05,14185000.0,14354000.0,169000.0,1.191399365526965
2022-06,14354000.0,14705000.0,351000.0,2.4453114114532535
2022-07,14705000.0,15345000.0,640000.0,4.35226113566814
2022-08,15345000.0,15609000.0,264000.0,1.7204301075268817
2022-09,15609000.0,15714000.0,105000.0,0.6726888333653661
2022-10,15714000.0,15845000.0,131000.0,0.8336515209367443
2022-11,15845000.0,16293000.0,448000.0,2.827390343957084
2022-12,16293000.0,16550000.0,257000.0,1.5773645123672742
2023-01,16550000.0,16654000.0,104000.0,0.6283987915407855
2023-02,16654000.0,16599000.0,-55000.0,-0.33025099075297226
2023-03,16599000.0,16673000.0,74000.0,0.44580998855352727
2023-04,16673000.0,18086000.0,1413000.0,8.47477958375817
2023-05,18086000.0,18428000.0,342000.0,1.8909653875926131
2023-06,18428000.0,18689000.0,261000.0,1.4163229867592795
2023-07,18689000.0,18833000.0,144000.0,0.7705067151800524
2023-08,18833000.0,19164000.0,331000.0,1.7575532310306377
2023-09,19164000.0,19290000.0,126000.0,0.6574827802128992
2023-10,19290000.0,19406000.0,116000.0,0.6013478486262311
2023-11,19406000.0,19874000.0,468000.0,2.411625270534886
2023-12,19874000.0,20166000.0,292000.0,1.469256314783134
2024-01,20166000.0,20370000.0,204000.0,1.0116036893781613
2024-02,20370000.0,20490000.0,120000.0,0.5891016200294551
2024-03,20490000.0,20599000.0,109000.0,0.5319668130795511
2024-04,20599000.0,21452000.0,853000.0,4.140977717364921
2024-05,21452000.0,21611000.0,159000.0,0.7411896326682826
2024-06,21611000.0,22785000.0,1174000.0,5.432418675674425
2024-07,22785000.0,23189000.0,404000.0,1.773096335308317
2024-08,23189000.0,23381000.0,192000.0,0.8279787830436844
2024-09,23381000.0,23527000.0,146000.0,0.6244386467644669
2024-10,23527000.0,23505000.0,-22000.0,-0.09350958473243506
2024-11,23505000.0,23834000.0,329000.0,1.3997021910231866
2024-12,23834000.0,24218000.0,384000.0,1.6111437442309307
2025-01,24218000.0,24159000.0,-59000.0,-0.24362044760095797
2025-02,24159000.0,23817000.0,-342000.0,-1.415621507512728
2025-03,23817000.0,24347000.0,530000.0,2.2253012554058023
2025-04,24347000.0,24866000.0,519000.0,2.1316794676962254
2025-05,24866000.0,25318000.0,452000.0,1.817743103032253
2025-06,25318000.0,25541000.0,223000.0,0.8807962714274429
2025-07,25541000.0,25661000.0,120000.0,0.46983281782232483
2025-08,25661000.0,25829000.0,168000.0,0.6546899964927322
2025-09,25829000.0,26101000.0,272000.0,1.0530798714623097
2025-10,26101000.0,26401000.0,300000.0,1.1493812497605456
2025-11,26401000.0,26499000.0,98000.0,0.3711980606795197
2025-12,26499000.0,26589000.0,90000.0,0.3396354579418091
2026-01,26589000.0,26490000.0,-99000.0,-0.37233442400992894
2026-02,26490000.0,27159000.0,669000.0,2.525481313703284
2026-03,27159000.0,26608000.0,-551000.0,-2.0287934018189184
2026-04,26608000.0,28607000.0,1999000.0,7.51277811184606
2026-05,28607000.0,28842000.0,235000.0,0.8214772608102913
2026-06,28842000.0,29015000.0,173000.0,0.5998197073711948
2026-07,29015000.0,29162000.0,147000.0,0.5066344993968637
2026-08,29162000.0,29468000.0,306000.0,1.049310746862355
