Transaction_ID,Trade_ID,Type,Date,Ticker,Liquidity_Source,Support_Price,Quantity,Price,Total_Spend,Gross_PnL,Statutory_Taxes,Net_PnL,Return_Pct,Balance,Target_RR_Mode,Outcome,Chart_PNG_URI
23,11,SELL (EXIT),2010-04-09,NOCIL.NS,Monthly,21.15,1060,24.01,23447.2,2003.4,70.12,1933.28,8.245248899655396,103425.77,1:2,Success,file:///C:/DATA/CODE/Stocks/BackTest/Plots/statement_trades/Trade_0011_NOCIL.NS_2010-03-31_PROFIT.png
24,12,BUY (ENTRY),2010-04-12,ZENSARTECH.NS,Weekly,27.41,703,29.02,20401.06,0.0,0.0,0.0,0.0,83024.71,1:2,OPEN,N/A
25,12,SELL (EXIT),2010-04-13,ZENSARTECH.NS,Weekly,27.41,703,31.86,20401.06,1996.52,63.34,1933.18,9.47588017485366,105358.95,1:2,Success,file:///C:/DATA/CODE/Stocks/BackTest/Plots/statement_trades/Trade_0012_ZENSARTECH.NS_2010-04-12_PROFIT.png
26,13,BUY (ENTRY),2010-04-19,TTKHLTCARE.NS,Weekly,255.65,86,299.3,25739.8,0.0,0.0,0.0,0.0,79619.15,1:2,OPEN,N/A
27,13,SELL (EXIT),2010-04-20,TTKHLTCARE.NS,Weekly,255.65,86,322.47,25739.8,1992.62,75.2,1917.42,7.449242029852603,107276.37,1:2,Success,file:///C:/DATA/CODE/Stocks/BackTest/Plots/statement_trades/Trade_0013_TTKHLTCARE.NS_2010-04-19_PROFIT.png
28,14,BUY (ENTRY),2010-04-20,BAJAJFINSV.NS,Weekly,30.49,916,30.54,27974.64,0.0,0.0,0.0,0.0,79301.73,1:2,OPEN,N/A
29,15,BUY (ENTRY),2010-04-20,BAJAJFINSV.NS,Weekly,30.95,916,30.54,27974.64,0.0,0.0,0.0,0.0,51327.09,1:2,OPEN,N/A
30,14,SELL (EXIT),2010-04-29,BAJAJFINSV.NS,Weekly,30.49,916,32.72,27974.64,1996.88,80.17,1916.71,6.851598447736951,109193.08,1:2,Success,file:///C:/DATA/CODE/Stocks/BackTest/Plots/statement_trades/Trade_0014_BAJAJFINSV.NS_2010-04-20_PROFIT.png
31,15,SELL (EXIT),2010-04-29,BAJAJFINSV.NS,Weekly,30.95,916,32.72,27974.64,1996.88,80.17,1916.71,6.851598447736951,111109.79000000001,1:2,Success,file:///C:/DATA/CODE/Stocks/BackTest/Plots/statement_trades/Trade_0015_BAJAJFINSV.NS_2010-04-20_PROFIT.png
32,16,BUY (ENTRY),2010-04-29,SOLARINDS.NS,Weekly,83.2,133,87.29,11609.570000000002,0.0,0.0,0.0,0.0,99500.22,1:2,OPEN,N/A
